| Configuration: Fuel Internal - N2O External | | | | | | | | | | Configuration: N2O Internal - Fuel External | | | | | | | | |
| ------------------------------------------- | --------- | ---- | ---------- | ----------- | --------- | ------ | --------------------- | ----------------- | ------------ | ------------------------------------------- | | | ------------- | --------- | ---- | ---------- | ----------- | ------------------ |
| | | | | | | | | | | | | | | | | | | | | | | | | |
| Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | | | Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | |
| 0,60 mm | 0.282743 | 3 | 17 | 51 | 0.4429 | 4.87% | 21.18 | 2.209 | 7.60 | 0.86 | | | 0,60 mm | 0.2827433 | 3 | 54 | 162 | 1.3416 | 0.63% | 6.67 | 0.284 | 7.60 | 0.31 | |
| 0,60 mm | 0.282743 | 3 | 17 | 51 | 0.4429 | 4.87% | 21.18 | 2.677 | 8.87 | 0.75 | | | 0,60 mm | 0.2827433 | 3 | 54 | 162 | 1.3416 | 0.63% | 6.67 | 0.432 | 8.87 | 0.27 | |
| 0,60 mm | 0.282743 | 3 | 17 | 51 | 0.4429 | 4.87% | 21.18 | 3.145 | 10.13 | 0.66 | | | 0,60 mm | 0.2827433 | 3 | 54 | 162 | 1.3416 | 0.63% | 6.67 | 0.579 | 10.13 | 0.24 | |
| 0,60 mm | 0.282743 | 3 | 17 | 51 | 0.4429 | 4.87% | 21.18 | 3.613 | 11.40 | 0.59 | | | 0,60 mm | 0.2827433 | 3 | 54 | 162 | 1.3416 | 0.63% | 6.67 | 0.726 | 11.40 | 0.21 | |
| 0,60 mm | 0.282743 | 3 | 17 | 51 | 0.4429 | 4.87% | 21.18 | 4.082 | 12.67 | 0.53 | | | 0,60 mm | 0.2827433 | 3 | 54 | 162 | 1.3416 | 0.63% | 6.67 | 0.874 | 12.67 | 0.19 | |
| 0,60 mm | 0.282743 | 4 | 13 | 52 | 0.4516 | 3.01% | 27.69 | 3.073 | 7.60 | 0.86 | | | 0,60 mm | 0.2827433 | 4 | 40 | 160 | 1.3251 | 1.86% | 9.00 | 0.594 | 7.60 | 0.31 | |
| 0,60 mm | 0.282743 | 4 | 13 | 52 | 0.4516 | 3.01% | 27.69 | 3.685 | 8.87 | 0.75 | | | 0,60 mm | 0.2827433 | 4 | 40 | 160 | 1.3251 | 1.86% | 9.00 | 0.793 | 8.87 | 0.27 | |
| 0,60 mm | 0.282743 | 4 | 13 | 52 | 0.4516 | 3.01% | 27.69 | 4.298 | 10.13 | 0.66 | | | 0,60 mm | 0.2827433 | 4 | 40 | 160 | 1.3251 | 1.86% | 9.00 | 0.992 | 10.13 | 0.24 | |
| 0,60 mm | 0.282743 | 4 | 13 | 52 | 0.4516 | 3.01% | 27.69 | 4.910 | 11.40 | 0.59 | | | 0,60 mm | 0.2827433 | 4 | 40 | 160 | 1.3251 | 1.86% | 9.00 | 1.191 | 11.40 | 0.21 | |
| 0,60 mm | 0.282743 | 4 | 13 | 52 | 0.4516 | 3.01% | 27.69 | 5.522 | 12.67 | 0.53 | | | 0,60 mm | 0.2827433 | 4 | 40 | 160 | 1.3251 | 1.86% | 9.00 | 1.390 | 12.67 | 0.19 | |
| 0,60 mm | 0.282743 | 5 | 10 | 50 | 0.4342 | 6.74% | 36.00 | 4.175 | 7.60 | 0.86 | | | 0,60 mm | 0.2827433 | 5 | 32 | 160 | 1.3251 | 1.86% | 11.25 | 0.892 | 7.60 | 0.31 | |
